nationality_id;name
1;Afghan
2;Albanian
3;Algerian
4;American
5;Andorran
6;Angolan
7;Anguillan
8;Argentine
9;Armenian
10;Australian
11;Austrian
12;Azerbaijani
13;Bahamian
14;Bahraini
15;Bangladeshi
16;Barbadian
17;Belarusian
18;Belgian
19;Belizean
20;Beninese
21;Bermudian
22;Bhutanese
23;Bolivian
24;Botswanan
25;Brazilian
26;British
27;British Virgin Islander
28;Bruneian
29;Bulgarian
30;Burkinan
31;Burmese
32;Burundian
33;Cambodian
34;Cameroonian
35;Canadian
36;Cape Verdean
37;Cayman Islander
38;Central African
39;Chadian
40;Chilean
41;Chinese
42;Citizen of Antigua and Barbuda
43;Citizen of Bosnia and Herzegovina
44;Citizen of Guinea-Bissau
45;Citizen of Kiribati
46;Citizen of Seychelles
47;Citizen of the Dominican Republic
48;Citizen of Vanuatu
49;Colombian
50;Comoran
51;Congolese (Congo)
52;Congolese (DRC)
53;Cook Islander
54;Costa Rican
55;Croatian
56;Cuban
57;Cymraes
58;Cymro
59;Cypriot
60;Czech
61;Danish
62;Djiboutian
63;Dominican
64;Dutch
65;East Timorese
66;Ecuadorean
67;Egyptian
68;Emirati
69;English
70;Equatorial Guinean
71;Eritrean
72;Estonian
73;Ethiopian
74;Faroese
76;Fijian
77;Filipino
78;Finnish
79;French
80;Gabonese
81;Gambian
82;Georgian
83;German
84;Ghanaian
85;Gibraltarian
86;Greek
87;Greenlandic
88;Grenadian
89;Guamanian
90;Guatemalan
91;Guinean
92;Guyanese
93;Haitian
94;Honduran
95;Hong Konger
96;Hungarian
97;Icelandic
98;Indian
99;Indonesian
100;Iranian
101;Iraqi
102;Irish
103;Israeli
104;Italian
105;Ivorian
106;Jamaican
107;Japanese
108;Jordanian
109;Kazakh
110;Kenyan
111;Kittitian
112;Kosovan
113;Kuwaiti
114;Kyrgyz
115;Lao
116;Latvian
117;Lebanese
118;Liberian
119;Libyan
120;Liechtenstein citizen
121;Lithuanian
122;Luxembourger
123;Macanese
124;Macedonian
125;Malagasy
126;Malawian
127;Malaysian
128;Maldivian
129;Malian
130;Maltese
131;Marshallese
132;Martiniquais
133;Mauritanian
134;Mauritian
135;Mexican
136;Micronesian
137;Moldovan
138;Monegasque
139;Mongolian
140;Montenegrin
141;Montserratian
142;Moroccan
143;Mosotho
144;Mozambican
145;Namibian
146;Nauruan
147;Nepalese
148;New Zealander
149;Nicaraguan
150;Nigerian
151;Nigerien
152;Niuean
153;North Korean
154;Northern Irish
155;Norwegian
156;Omani
157;Pakistani
158;Palauan
159;Palestinian
160;Panamanian
161;Papua New Guinean
162;Paraguayan
163;Peruvian
164;Pitcairn Islander
165;Polish
166;Portuguese
167;Prydeinig
168;Puerto Rican
169;Qatari
170;Romanian
171;Russian
172;Rwandan
173;Salvadorean
174;Sammarinese
175;Samoan
176;Sao Tomean
177;Saudi Arabian
178;Scottish
179;Senegalese
180;Serbian
181;Sierra Leonean
182;Singaporean
183;Slovak
184;Slovenian
185;Solomon Islander
186;Somali
187;South African
188;South Korean
189;South Sudanese
190;Spanish
191;Sri Lankan
192;St Helenian
193;St Lucian
194;Stateless
195;Sudanese
196;Surinamese
197;Swazi
198;Swedish
199;Swiss
200;Syrian
201;Taiwanese
202;Tajik
203;Tanzanian
204;Thai
205;Togolese
206;Tongan
207;Trinidadian
208;Tristanian
209;Tunisian
210;Turkish
211;Turkmen
212;Turks and Caicos Islander
213;Tuvaluan
214;Ugandan
215;Ukrainian
216;Uruguayan
217;Uzbek
218;Vatican citizen
219;Venezuelan
220;Vietnamese
221;Vincentian
222;Wallisian
223;Welsh
224;Yemeni
225;Zambian
226;Zimbabwean
